Instancia,BKS,Best_FO,Mean_FO,Worse_FO,Best_RPD,Mean_RPD,Time_to_best_FO,Mean_Time_to_best_FO,Run_time_best_FO,Mean_run_time
berlin52,7542.0,7544.365901904072,7544.37,7544.36590190411,0.03,0.03,0.0,0.04,0.15,0.17
st70,675.0,677.109609274846,677.11,677.111418477476,0.31,0.31,0.02,0.05,0.37,0.4
pr76,108159.0,108159.43827413746,108159.44,108159.43827413805,0.0,0.0,0.06,0.05,0.47,0.5
kroA100,21282.0,21285.44318157087,21285.44,21285.443181571154,0.02,0.02,0.21,0.23,1.14,1.18
kroB100,22141.0,22139.07461515097,22169.81,22234.497834419133,-0.01,0.13,0.07,0.26,1.23,1.26
kroC100,20749.0,20750.76250368744,20750.76,20750.762503687576,0.01,0.01,0.1,0.23,1.35,1.54
kroD100,21294.0,21294.290821490278,21297.35,21309.582775259514,0.0,0.01,1.16,0.62,1.31,1.75
kroE100,22068.0,22068.75866935565,22082.74,22119.90158254307,0.0,0.06,0.22,0.48,1.35,1.35
kroA150,26524.0,26524.863036284798,26589.21,26719.206104473258,0.0,0.24,2.81,2.44,4.56,4.26
kroB150,26130.0,26127.357888740597,26133.44,26147.546168070723,-0.01,0.01,0.99,1.56,3.86,4.07
pr152,73682.0,73683.64062763221,73752.45,73821.25003313411,0.0,0.1,0.56,0.97,4.09,4.55
kroA200,29368.0,29369.4070467481,29489.41,29733.97683509108,0.0,0.41,3.73,8.28,11.56,11.51
kroB200,29437.0,29465.889023515054,29533.52,29642.548264045316,0.1,0.33,8.65,9.79,13.4,13.16
ts225,126643.0,126645.93368025291,126652.88,126715.42045541614,0.0,0.01,4.35,6.58,18.37,16.99
pr264,49135.0,49135.00496337439,49202.63,49423.05512048837,0.0,0.14,12.29,14.62,22.45,22.7
pr299,48191.0,48302.410131816694,48472.63,48738.58384920897,0.23,0.58,25.61,27.34,34.53,32.23
lin318,42029.0,42288.68202302725,42513.98,42754.61789159702,0.62,1.15,44.52,38.36,44.86,44.46
rd400,15281.0,15529.072322875887,15638.05,15719.89259322312,1.62,2.34,71.87,78.85,91.93,94.57
fl417,11861.0,11928.639144144914,11943.78,11960.681696781743,0.57,0.7,96.49,84.62,112.41,102.76
pr439,107217.0,107715.12065926453,108134.26,108579.0499699933,0.46,0.86,100.1,99.99,108.38,111.23
